# mean,var,range,fatigue
74.20000,6.36000,9.00000,1.40071
71.80000,5.56000,8.00000,1.43617
70.00000,3.80000,8.00000,1.47163
68.10000,4.09000,6.00000,1.50709
66.60000,3.04000,6.00000,1.54255
64.40000,7.64000,10.00000,1.57801
61.30000,12.81000,11.00000,1.61348
60.60000,7.64000,9.00000,1.64894
60.30000,2.61000,6.00000,1.68440
58.40000,9.84000,11.00000,1.71986
57.60000,9.44000,11.00000,1.75532
56.10000,4.69000,7.00000,1.79078
54.00000,2.40000,5.00000,1.82624
51.50000,6.65000,9.00000,1.86170
50.00000,4.40000,7.00000,1.89716
49.60000,5.44000,8.00000,1.93262
48.30000,7.01000,7.00000,1.96809
47.80000,6.56000,7.00000,1.99973
48.40000,9.04000,9.00000,2.02500
48.60000,7.04000,9.00000,2.04773
48.10000,1.09000,4.00000,2.07045
47.80000,1.16000,4.00000,2.09318
48.20000,4.76000,7.00000,2.11591
48.90000,6.69000,8.00000,2.13864
49.30000,6.01000,8.00000,2.16136
50.40000,4.24000,6.00000,2.18409
50.80000,4.96000,8.00000,2.20682
50.10000,5.69000,8.00000,2.22955
48.80000,5.96000,8.00000,2.25227
47.30000,3.81000,7.00000,2.27500
46.30000,1.41000,4.00000,2.29773
45.90000,2.09000,4.00000,2.32045
45.30000,3.21000,5.00000,2.34318
44.60000,1.84000,4.00000,2.36591
45.10000,1.69000,5.00000,2.38864
45.40000,4.24000,7.00000,2.41136
45.40000,5.04000,7.00000,2.43409
45.30000,3.21000,5.00000,2.45682
45.00000,4.80000,7.00000,2.47955
44.80000,4.96000,7.00000,2.50227
44.20000,7.16000,9.00000,2.52500
44.80000,10.16000,10.00000,2.54773
46.40000,6.84000,8.00000,2.57045
47.40000,6.04000,7.00000,2.59318
47.80000,5.76000,8.00000,2.61591
47.50000,6.65000,9.00000,2.63864
47.20000,5.16000,7.00000,2.66136
46.80000,2.16000,4.00000,2.68409
46.30000,1.41000,3.00000,2.70682
45.60000,2.44000,6.00000,2.72955
43.60000,3.64000,6.00000,2.75227
42.20000,0.96000,3.00000,2.77500
42.20000,2.56000,5.00000,2.79773
42.60000,9.04000,9.00000,2.82045
42.90000,7.29000,9.00000,2.84318
42.90000,0.29000,2.00000,2.86591
43.90000,1.89000,4.00000,2.88864
45.00000,3.60000,6.00000,2.91136
44.10000,7.09000,9.00000,2.93409
43.50000,5.05000,7.00000,2.95682
43.50000,2.85000,6.00000,2.97955
43.20000,2.36000,5.00000,3.00374
43.70000,1.21000,4.00000,3.03039
43.60000,0.64000,3.00000,3.05801
42.70000,4.41000,6.00000,3.08564
40.60000,8.24000,9.00000,3.11326
38.60000,2.44000,6.00000,3.14088
40.80000,10.96000,11.00000,3.16851
47.20000,20.96000,13.00000,3.19613
51.60000,6.24000,9.00000,3.22376
50.70000,10.21000,12.00000,3.25138
45.50000,19.25000,13.00000,3.27901
41.60000,1.84000,5.00000,3.30663
42.50000,5.05000,8.00000,3.33425
42.40000,11.04000,10.00000,3.36188
41.90000,8.09000,9.00000,3.38950
43.80000,13.76000,13.00000,3.41713
45.70000,14.81000,13.00000,3.44475
44.70000,9.61000,9.00000,3.47238
42.00000,6.80000,10.00000,3.50000
43.40000,12.84000,11.00000,3.52762
42.10000,19.49000,12.00000,3.55525
38.60000,3.44000,6.00000,3.58287
39.60000,9.64000,10.00000,3.61050
41.20000,7.36000,10.00000,3.63812
42.00000,1.40000,4.00000,3.66575
42.50000,2.25000,5.00000,3.69337
42.60000,2.24000,5.00000,3.72099
41.80000,2.16000,4.00000,3.74862
40.40000,4.84000,8.00000,3.77624
38.00000,5.80000,7.00000,3.80387
34.20000,11.56000,12.00000,3.83149
32.70000,7.61000,9.00000,3.85912
35.50000,12.05000,11.00000,3.88674
36.90000,8.89000,8.00000,3.91436
35.80000,4.16000,8.00000,3.94199
223.60000,8.64000,9.00000,0.03629
221.90000,24.09000,20.00000,0.07661
216.00000,71.60000,29.00000,0.11694
205.10000,52.49000,23.00000,0.15726
194.90000,52.89000,25.00000,0.19758
185.40000,44.24000,25.00000,0.23790
176.70000,42.01000,18.00000,0.27823
169.10000,17.09000,16.00000,0.31855
162.90000,15.69000,14.00000,0.35887
155.80000,34.16000,16.00000,0.39919
147.80000,39.96000,25.00000,0.43952
140.70000,28.81000,15.00000,0.47984
134.40000,34.04000,20.00000,0.52016
127.80000,41.56000,20.00000,0.56048
121.50000,26.45000,16.00000,0.60081
115.50000,16.65000,15.00000,0.64113
110.70000,11.81000,11.00000,0.68145
106.50000,18.45000,17.00000,0.72177
102.70000,59.41000,24.00000,0.76210
97.60000,70.64000,24.00000,0.80242
91.20000,20.96000,14.00000,0.84274
87.20000,35.16000,20.00000,0.88306
83.50000,34.65000,19.00000,0.92339
80.70000,33.61000,19.00000,0.96371
78.20000,42.56000,19.00000,1.00570
75.20000,15.36000,13.00000,1.05046
73.40000,8.84000,10.00000,1.09633
70.80000,15.16000,11.00000,1.14220
68.10000,18.29000,12.00000,1.18807
67.20000,29.76000,16.00000,1.23394
66.60000,30.24000,16.00000,1.27982
65.50000,11.05000,11.00000,1.32569
63.60000,5.24000,9.00000,1.37156
61.30000,4.81000,8.00000,1.41743
60.60000,4.64000,8.00000,1.46330
59.60000,38.44000,21.00000,1.50917
58.50000,41.85000,21.00000,1.55505
58.60000,23.04000,16.00000,1.60092
58.20000,31.76000,16.00000,1.64679
57.60000,21.24000,14.00000,1.69266
56.70000,24.41000,15.00000,1.73853
55.50000,20.45000,15.00000,1.78440
54.90000,3.89000,7.00000,1.83028
53.60000,9.04000,11.00000,1.87615
53.00000,30.00000,19.00000,1.92202
54.50000,50.85000,21.00000,1.96779
53.40000,59.04000,21.00000,2.01157
51.40000,30.44000,20.00000,2.05285
51.50000,19.25000,16.00000,2.09350
51.20000,35.36000,17.00000,2.13415
50.70000,40.81000,18.00000,2.17480
50.00000,45.60000,18.00000,2.21545
49.80000,32.36000,16.00000,2.25610
50.40000,11.24000,10.00000,2.29675
49.80000,9.56000,11.00000,2.33740
49.20000,8.56000,11.00000,2.37805
49.40000,15.84000,14.00000,2.41870
49.60000,19.04000,14.00000,2.45935
49.00000,10.80000,10.00000,2.50000
48.50000,9.65000,10.00000,2.54065
48.00000,12.60000,10.00000,2.58130
48.00000,48.40000,20.00000,2.62195
47.90000,47.49000,20.00000,2.66260
47.70000,12.01000,12.00000,2.70325
47.60000,12.24000,12.00000,2.74390
47.40000,26.44000,19.00000,2.78455
47.10000,32.09000,21.00000,2.82520
46.60000,13.24000,15.00000,2.86585
47.00000,1.80000,4.00000,2.90650
47.30000,4.81000,7.00000,2.94715
45.10000,13.69000,12.00000,2.98687
42.70000,7.61000,7.00000,3.02287
46.50000,25.05000,18.00000,3.05592
48.80000,10.56000,11.00000,3.08882
45.60000,7.44000,10.00000,3.12171
43.40000,6.04000,8.00000,3.15461
43.60000,11.44000,12.00000,3.18750
43.70000,18.41000,13.00000,3.22039
42.30000,19.61000,15.00000,3.25329
40.90000,10.29000,12.00000,3.28618
43.50000,14.85000,13.00000,3.31908
46.40000,5.24000,7.00000,3.35197
46.50000,2.25000,4.00000,3.38487
46.30000,2.01000,4.00000,3.41776
46.30000,2.81000,5.00000,3.45066
45.90000,3.69000,6.00000,3.48355
44.80000,1.96000,4.00000,3.51645
45.10000,3.69000,7.00000,3.54934
45.30000,5.81000,7.00000,3.58224
44.90000,3.89000,6.00000,3.61513
44.60000,3.24000,5.00000,3.64803
44.40000,4.24000,6.00000,3.68092
44.70000,3.61000,7.00000,3.71382
45.50000,3.05000,5.00000,3.74671
44.20000,10.56000,11.00000,3.77961
43.70000,11.01000,12.00000,3.81250
45.00000,3.80000,7.00000,3.84539
45.80000,3.76000,6.00000,3.87829
46.70000,7.21000,9.00000,3.91118
47.90000,7.49000,10.00000,3.94408
